text,hashtags,likes,has_media,retweets,img_urls,screen_name,timestamp,is_replied,is_reply_to,parent_tweet_id,replies,tweet_id,tweet_url,user_id,username
"Quin cook va entrar de la banca. Alex Caruso no juega el dia de hoy.

#lakers #lakeshow #nba",lakers|lakeshow|nba,0,False,0,,LakersEnEspanol,2020-07-23 23:23:52,False,False,,0,1286441933905125377,/LakersEnEspanol/status/1286441933905125377,1089395286873563137,Lakers En Español
"LeBron is back on my TV playing live basketball, which makes me happy. #NBA",NBA,0,False,0,,era88,2020-07-23 23:23:48,False,False,,0,1286441916612202497,/era88/status/1286441916612202497,41359618,Eileen A 📎🌊
Michael Jordan And Scottie Pippen Going Over A Play https://youtu.be/ExRg2QWcb2c  via @YouTube #michaeljordan #nba #NBA #NBABubble #plays #basketball #youtube,michaeljordan|nba|NBA|NBABubble|plays|basketball|youtube,1,False,0,,sportsssszz,2020-07-23 23:23:32,False,False,,0,1286441849071312898,/sportsssszz/status/1286441849071312898,856966182322274304,Sportsssszz
@KingJames starting to show his age? #NBAtwitter #NBA pic.twitter.com/3aqpRvE2pw,NBAtwitter|NBA,0,True,0,https://pbs.twimg.com/media/EdpcCGJXsAEH3Kk.jpg,LucasMiodonski,2020-07-23 23:23:30,False,False,,0,1286441840175190019,/LucasMiodonski/status/1286441840175190019,771894992457662468,Yung Espresso
"O alívio de ver LeBron jogando de novo, MEU PAI DO CÉU #NBA #Lakers",NBA|Lakers,3,False,0,,aidarbruna,2020-07-23 23:23:29,True,False,,1,1286441836811296770,/aidarbruna/status/1286441836811296770,3248283249,Bruna Aidar
"Anyone else notice @ShannonSharpe and  @kporzee have the same haircut 🤔😂😂
#FS1
#NBA
#Lakers
#Mavs
#LakersNation
#LakeShow
#Undisputedpic.twitter.com/16zpMF0kex",FS1|NBA|Lakers|Mavs|LakersNation|LakeShow|Undisputedpic,1,True,0,https://pbs.twimg.com/media/EdpcAelXsAU1Blu.jpg|https://pbs.twimg.com/media/EdpcAeIXoAErD65.jpg,ArnoldJacksun,2020-07-23 23:23:23,False,False,,0,1286441812987654145,/ArnoldJacksun/status/1286441812987654145,937532369103441920,Hieronymus Fox News
"8' Lakers 21-20 Mavericks 
Mejoran los Lakers en defensa 

#NBA",NBA,0,False,0,,DeportesTotal8,2020-07-23 23:23:20,False,False,,0,1286441798177611778,/DeportesTotal8/status/1286441798177611778,1267448857593610240,Deportes Total
Watching #MLB #OpeningNight and #NBA #Lakers at the same time. Stanton with a monster shot and #Yankees look great. Quick basketball question: do stats start to count for regular season numbers?,MLB|OpeningNight|NBA|Lakers|Yankees,0,False,0,,sportz_nutt51,2020-07-23 23:23:18,False,False,,0,1286441789596094464,/sportz_nutt51/status/1286441789596094464,997012951,Davey Lou
Hopefully #nba tanks with them,nba,0,False,0,,pitalumni,2020-07-23 23:23:17,False,True,1286290625156063233,0,1286441785539977216,/pitalumni/status/1286441785539977216,83664706,Brian Helmken
Chiptime! #Showtime #LakersNation #Lakers #NBA FINALLY!!! pic.twitter.com/GcggsHNPBK,Showtime|LakersNation|Lakers|NBA,1,True,0,https://pbs.twimg.com/media/Edpb-rhU0AEOb9O.jpg,wasimofnazareth,2020-07-23 23:23:15,True,False,,1,1286441778334203909,/wasimofnazareth/status/1286441778334203909,224044260,Wasim Of Nazareth ⏳
I’m literally working and watching the Lakers play. #multitasking #NBA,multitasking|NBA,0,False,0,,DRealUnclePhill,2020-07-23 23:23:13,False,False,,0,1286441768557387782,/DRealUnclePhill/status/1286441768557387782,1231285359163604992,Phill
The Return... Who Next? 💈💈💈... 🗣IM MR. 24 Hours ! 💈💺🤴🏿💪🏾  BWA Clipper Gods To The Death It’s A Lifestyle 🤴🏿💺💈#bwa #clippergods #nlbm #lebronofmyleague #garyindiana #merrillville #Schererville #dyer #lakers #nba… https://www.instagram.com/p/CDAL156g7iK/?igshid=qzyw08hiwm6z …,bwa|clippergods|nlbm|lebronofmyleague|garyindiana|merrillville|Schererville|dyer|lakers|nba,0,False,0,,don_kutz_i_am,2020-07-23 23:23:11,False,False,,0,1286441763251662852,/don_kutz_i_am/status/1286441763251662852,701515315,I'Am Don Kutz
